IME,KRATICA
Albanija,AL
Andora,AD
Armenija,AM
Avstrija,AT
Azerbajdžan,AZ
Belorusija,BY
Belgija,BE
Bosna in Hercegovina,BA
Bulgarija,BG
Hrvaška,HR
Ciper,CY
Česka,CZ
Danska,DK
Estonija,EE
Finska,FI
Francija,FR
Gruzija,GE
Nemčija,DE
Grčija,GR
Vatikan,VA
Madžarska,HU
Islandija,IS
Irska,IE
Italija,IT
Kosovo,KO
Latvija,LV
Lihtenštajn,LI
Litva,LT
Luksemburg,LU
Makedonija,MK
Malta,MT
Moldavija,MD
Monako,MC
Črna gora,ME
Nizozemska,NL
Norveška,NO
Polska,PL
Portugalska,PT
Romunija,RO
Rusija,RU
San Marino,SM
Serbija,RS
Slovaška,SK
Slovenija,SI
Španija,ES
Švedska,SE
Švica,CH
Turčija,TR
Ukrajina,UA
Velika Britanija,GB