id_mesta,namen
1,zgodovina
1,narava
1,šport
2,zgodovina
2,narava
2,šport
3,kulinarika
3,arhitektura
4,zgodovina
4,umetnost
4,nakupovanje
4,arhitektura
5,kulinarika
5,arhitektura
6,kulinarika
6,arhitektura
6,umetnost
7,arhitektura
8,kulinarika
8,zgodovina
8,zabava
8,nakupovanje
9,zabava
9,umetnost
10,zabava
10,kulinarika
10,arhitektura
11,zgodovina
11,arhitektura
12,zabava
13,zabava
13,narava
13,kulinarika
13,arhitektura
14,zabava
14,zgodovina
15,zgodovina
15,arhitektura
16,zabava
16,umetnost
16,kulinarika
16,nakupovanje
16,arhitektura
17,zgodovina
17,narava
17,arhitektura
17,plaža
18,narava
18,kulinarika
18,arhitektura
19,zabava
19,kulinarika
19,nakupovanje
20,zabava
20,kulinarika
20,arhitektura
21,zabava
21,narava
22,zabava
22,zgodovina
22,umetnost
22,kulinarika
22,arhitektura
23,kulinarika
23,glasba
24,arhitektura
25,zgodovina
25,umetnost
25,narava
26,zabava
26,zgodovina
27,narava
27,nakupovanje
28,zabava
28,arhitektura
29,nakupovanje
29,arhitektura
30,zabava
30,zgodovina
30,plaža
31,zabava
31,kulinarika
32,zabava
32,plaža
32,nakupovanje
33,zabava
33,zgodovina
33,nakupovanje
34,zabava
34,zgodovina
34,umetnost
34,arhitektura
35,zgodovina
35,umetnost
36,kulinarika
36,zgodovina
37,arhitektura
37,plaža
37,zgodovina
37,zabava
38,narava
38,arhitektura
38,umetnost
38,zabava
39,umetnost
39,zgodovina
40,umetnost
40,zgodovina
41,glasba
41,kulinarika
41,zabava
42,zabava
43,arhitektura
43,nakupovanje
43,šport
43,kulinarika
43,narava
43,zabava
44,umetnost
44,zgodovina
44,zabava
45,arhitektura
45,umetnost
45,zabava
46,šport
46,zabava
47,plaža
47,umetnost
47,zabava
48,zgodovina
49,arhitektura
49,umetnost
49,zgodovina
50,nakupovanje
50,arhitektura
50,umetnost
50,zabava